Entity,Frequency,Entity Type,Year,Month,Day,Latitude,Longitude,Country,City,News Source
Ukraine,129,GPE,2022,3,1,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,117,GPE,2022,3,1,64.6863136,97.7453061,Russia,,aljazeera
US,25,GPE,2022,3,1,39.7837304,-100.445882,United States,,aljazeera
Moscow,23,GPE,2022,3,1,55.7504461,37.6174943,Russia,Moscow,aljazeera
Poland,8,GPE,2022,3,1,52.215933,19.134422,Poland,,aljazeera
Belarus,6,GPE,2022,3,1,53.4250605,27.6971358,Belarus,Шацкий сельский Совет,aljazeera
Kharkiv,5,GPE,2022,3,1,49.9923181,36.2310146,Ukraine,Kharkiv,aljazeera
Turkey,5,GPE,2022,3,1,38.9597594,34.9249653,Turkey,Akarca Köyü,aljazeera
the United States,4,GPE,2022,3,1,29.6330078,-97.98859404468138,United States,,aljazeera
UKRAINE,4,GPE,2022,3,1,49.4871968,31.2718321,Ukraine,,aljazeera
Geneva,4,GPE,2022,3,1,46.2017559,6.1466014,Switzerland,Geneva,aljazeera
Kyiv,4,GPE,2022,3,1,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Ukrainian,3,GPE,2022,3,1,,,,,aljazeera
Kherson,3,GPE,2022,3,1,46.5421715,33.4079326,Ukraine,,aljazeera
Mariupol,3,GPE,2022,3,1,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Germany,3,GPE,2022,3,1,51.0834196,10.4234469,Germany,Unstrut-Hainich,aljazeera
United States,2,GPE,2022,3,1,39.7837304,-100.445882,United States,,aljazeera
Georgia,2,GPE,2022,3,1,32.3293809,-83.1137366,United States,,aljazeera
Sweden,2,GPE,2022,3,1,59.6749712,14.5208584,Sweden,,aljazeera
the United Kingdom,2,GPE,2022,3,1,52.45777545,-1.869209938214711,United Kingdom,Birmingham,aljazeera
Kyiv,8,LOC,2022,3,1,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
the Black Sea,5,LOC,2022,3,1,52.0687719,4.2778376,Netherlands,The Hague,aljazeera
Europe,4,LOC,2022,3,1,51.0,10.0,Germany,,aljazeera
Black Sea,3,LOC,2022,3,1,43.87280435,33.99381558677739,,,aljazeera
Biden,2,LOC,2022,3,1,5.2290543,-1.0078989,Ghana,,aljazeera
the  Baltic Sea,1,LOC,2022,3,1,26.074337,-97.162078,United States,,aljazeera
the Azov Sea,1,LOC,2022,3,1,-23.6892424,-46.5608196,Brazil,São Bernardo do Campo,aljazeera
the Crimean Peninsula,1,LOC,2022,3,1,,,,,aljazeera
Gan Europe,1,LOC,2022,3,1,46.1068872,-0.7519873,France,,aljazeera
Gulf,1,LOC,2022,3,1,29.9665252,-85.2175889,United States,,aljazeera
Gulf Arab,1,LOC,2022,3,1,,,,,aljazeera
Crimean Peninsula,1,LOC,2022,3,1,45.28350435,34.20081877526554,Ukraine,,aljazeera
West,1,LOC,2022,3,1,0.5090396,34.5731341,Kenya,,aljazeera
Ukraine,133,GPE,2022,3,2,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,91,GPE,2022,3,2,64.6863136,97.7453061,Russia,,aljazeera
Moscow,35,GPE,2022,3,2,55.7504461,37.6174943,Russia,Moscow,aljazeera
US,21,GPE,2022,3,2,39.7837304,-100.445882,United States,,aljazeera
Belarus,10,GPE,2022,3,2,53.4250605,27.6971358,Belarus,Шацкий сельский Совет,aljazeera
Kyiv,8,GPE,2022,3,2,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Ukrainian,8,GPE,2022,3,2,,,,,aljazeera
Canada,5,GPE,2022,3,2,61.0666922,-107.991707,Canada,,aljazeera
Romania,5,GPE,2022,3,2,45.9852129,24.6859225,Romania,,aljazeera
Mariupol,5,GPE,2022,3,2,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Chernihiv,4,GPE,2022,3,2,51.272593,31.7417235,Ukraine,,aljazeera
UK,4,GPE,2022,3,2,54.7023545,-3.2765753,United Kingdom,Allerdale,aljazeera
Kharkiv,4,GPE,2022,3,2,49.9923181,36.2310146,Ukraine,Kharkiv,aljazeera
Japan,4,GPE,2022,3,2,36.5748441,139.2394179,Japan,Kiryu,aljazeera
Chernobyl,3,GPE,2022,3,2,51.2705477,30.2195609,Ukraine,,aljazeera
Poland,3,GPE,2022,3,2,52.215933,19.134422,Poland,,aljazeera
Zhytomyr,3,GPE,2022,3,2,50.9080532,28.3867504,Ukraine,,aljazeera
the United States,3,GPE,2022,3,2,29.6330078,-97.98859404468138,United States,,aljazeera
Germany,3,GPE,2022,3,2,51.0834196,10.4234469,Germany,Unstrut-Hainich,aljazeera
Geneva,3,GPE,2022,3,2,46.2017559,6.1466014,Switzerland,Geneva,aljazeera
Kyiv,10,LOC,2022,3,2,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Europe,6,LOC,2022,3,2,51.0,10.0,Germany,,aljazeera
Black Sea,2,LOC,2022,3,2,43.87280435,33.99381558677739,,,aljazeera
Brest,1,LOC,2022,3,2,48.3905283,-4.4860088,France,Brest,aljazeera
Isaccea,1,LOC,2022,3,2,45.2721887,28.4571456,Romania,Isaccea,aljazeera
West,1,LOC,2022,3,2,0.5090396,34.5731341,Kenya,,aljazeera
the Dnieper River,1,LOC,2022,3,2,38.6452532,-121.5493819,United States,Sacramento,aljazeera
the Black Sea,1,LOC,2022,3,2,52.0687719,4.2778376,Netherlands,The Hague,aljazeera
the Black  Sea,1,LOC,2022,3,2,52.0687719,4.2778376,Netherlands,The Hague,aljazeera
the Gulf Arab state,1,LOC,2022,3,2,,,,,aljazeera
the Azov Sea,1,LOC,2022,3,2,-23.6892424,-46.5608196,Brazil,São Bernardo do Campo,aljazeera
Indian Ocean,1,LOC,2022,3,2,-9.9999999,69.9999999,,,aljazeera
Crimean Peninsula,1,LOC,2022,3,2,45.28350435,34.20081877526554,Ukraine,,aljazeera
Ukraine,123,GPE,2022,3,3,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,118,GPE,2022,3,3,64.6863136,97.7453061,Russia,,aljazeera
US,24,GPE,2022,3,3,39.7837304,-100.445882,United States,,aljazeera
Moscow,20,GPE,2022,3,3,55.7504461,37.6174943,Russia,Moscow,aljazeera
UK,7,GPE,2022,3,3,54.7023545,-3.2765753,United Kingdom,Allerdale,aljazeera
Zaporizhzhia,7,GPE,2022,3,3,47.8507859,35.1182867,Ukraine,Zaporizhzhia,aljazeera
France,6,GPE,2022,3,3,46.603354,1.8883335,France,,aljazeera
Germany,6,GPE,2022,3,3,51.0834196,10.4234469,Germany,Unstrut-Hainich,aljazeera
Ukrainian,6,GPE,2022,3,3,,,,,aljazeera
Canada,4,GPE,2022,3,3,61.0666922,-107.991707,Canada,,aljazeera
China,4,GPE,2022,3,3,35.000074,104.999927,China,,aljazeera
Brussels,4,GPE,2022,3,3,50.8465573,4.351697,Belgium,Brussels,aljazeera
Belarus,4,GPE,2022,3,3,53.4250605,27.6971358,Belarus,Шацкий сельский Совет,aljazeera
Enerdohar,4,GPE,2022,3,3,,,,,aljazeera
Finland,3,GPE,2022,3,3,63.2467777,25.9209164,Finland,,aljazeera
the Russian Federation,3,GPE,2022,3,3,52.5161051,13.3834149,Germany,Berlin,aljazeera
Poland,3,GPE,2022,3,3,52.215933,19.134422,Poland,,aljazeera
ALJAZEERA,3,GPE,2022,3,3,33.5514281,36.2118937,Syria,,aljazeera
Biden,2,GPE,2022,3,3,5.2290543,-1.0078989,Ghana,,aljazeera
Romania,2,GPE,2022,3,3,45.9852129,24.6859225,Romania,,aljazeera
Europe,16,LOC,2022,3,3,51.0,10.0,Germany,,aljazeera
Kyiv,4,LOC,2022,3,3,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
trans-Atlantic,1,LOC,2022,3,3,47.4770135,-1.3725911,France,,aljazeera
Dirccin,1,LOC,2022,3,3,,,,,aljazeera
Central,1,LOC,2022,3,3,22.2818286,114.1582784,China,Hong Kong Island,aljazeera
Eastern Europe,1,LOC,2022,3,3,41.836891800000004,22.52384962142576,North Macedonia,,aljazeera
Mykolayiv,1,LOC,2022,3,3,46.9380295,32.0626947,Ukraine,Mykolaiv,aljazeera
the Black Sea,1,LOC,2022,3,3,52.0687719,4.2778376,Netherlands,The Hague,aljazeera
Dnipro,1,LOC,2022,3,3,51.9191343,30.8243039,Ukraine,,aljazeera
the Gulf kingdom,1,LOC,2022,3,3,,,,,aljazeera
West,1,LOC,2022,3,3,0.5090396,34.5731341,Kenya,,aljazeera
Russia,115,GPE,2022,3,4,64.6863136,97.7453061,Russia,,aljazeera
Ukraine,109,GPE,2022,3,4,49.4871968,31.2718321,Ukraine,,aljazeera
Moscow,23,GPE,2022,3,4,55.7504461,37.6174943,Russia,Moscow,aljazeera
Mariupol,18,GPE,2022,3,4,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
US,18,GPE,2022,3,4,39.7837304,-100.445882,United States,,aljazeera
Ukrainian,11,GPE,2022,3,4,,,,,aljazeera
UK,11,GPE,2022,3,4,54.7023545,-3.2765753,United Kingdom,Allerdale,aljazeera
Germany,9,GPE,2022,3,4,51.0834196,10.4234469,Germany,Unstrut-Hainich,aljazeera
Poland,9,GPE,2022,3,4,52.215933,19.134422,Poland,,aljazeera
Belarus,6,GPE,2022,3,4,53.4250605,27.6971358,Belarus,Шацкий сельский Совет,aljazeera
Lithuania,6,GPE,2022,3,4,55.3500003,23.7499997,Lithuania,,aljazeera
London,5,GPE,2022,3,4,51.5073219,-0.1276474,United Kingdom,Westminster,aljazeera
Zaporizhzhia,5,GPE,2022,3,4,47.8507859,35.1182867,Ukraine,Zaporizhzhia,aljazeera
Turkey,4,GPE,2022,3,4,38.9597594,34.9249653,Turkey,Akarca Köyü,aljazeera
Israel,4,GPE,2022,3,4,31.5313113,34.8667654,Israel,Lachish Regional Council,aljazeera
Berlin,4,GPE,2022,3,4,52.5170365,13.3888599,Germany,Berlin,aljazeera
Volnovakha,4,GPE,2022,3,4,47.5984285,37.4998511,Ukraine,,aljazeera
Kherson,4,GPE,2022,3,4,46.5421715,33.4079326,Ukraine,,aljazeera
Mariupol city,4,GPE,2022,3,4,47.1033841,37.643735779533415,Ukraine,Mariupol,aljazeera
Singapore,4,GPE,2022,3,4,1.357107,103.8194992,Singapore,Singapore,aljazeera
Europe,10,LOC,2022,3,4,51.0,10.0,Germany,,aljazeera
Kyiv,7,LOC,2022,3,4,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
West,3,LOC,2022,3,4,0.5090396,34.5731341,Kenya,,aljazeera
North Sea,1,LOC,2022,3,4,56.74123355,2.8911717166880475,,,aljazeera
Latin America,1,LOC,2022,3,4,48.84774885,2.351138358927914,France,Paris,aljazeera
Ukraine,99,GPE,2022,3,5,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,71,GPE,2022,3,5,64.6863136,97.7453061,Russia,,aljazeera
US,19,GPE,2022,3,5,39.7837304,-100.445882,United States,,aljazeera
Moscow,18,GPE,2022,3,5,55.7504461,37.6174943,Russia,Moscow,aljazeera
Mariupol,14,GPE,2022,3,5,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Poland,8,GPE,2022,3,5,52.215933,19.134422,Poland,,aljazeera
Israel,6,GPE,2022,3,5,31.5313113,34.8667654,Israel,Lachish Regional Council,aljazeera
UK,6,GPE,2022,3,5,54.7023545,-3.2765753,United Kingdom,Allerdale,aljazeera
Vinnytsia,4,GPE,2022,3,5,48.8990315,28.516068,Ukraine,,aljazeera
Ukrainian,4,GPE,2022,3,5,,,,,aljazeera
Iran,4,GPE,2022,3,5,32.6475314,54.5643516,Iran,دهستان زرین,aljazeera
Calais,4,GPE,2022,3,5,50.9524769,1.8538446,France,Calais,aljazeera
China,4,GPE,2022,3,5,35.000074,104.999927,China,,aljazeera
Canada,4,GPE,2022,3,5,61.0666922,-107.991707,Canada,,aljazeera
Kyiv,3,GPE,2022,3,5,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Washington,3,GPE,2022,3,5,38.8950368,-77.0365427,United States,Washington,aljazeera
Romania,3,GPE,2022,3,5,45.9852129,24.6859225,Romania,,aljazeera
Venezuela,3,GPE,2022,3,5,8.0018709,-66.1109318,Venezuela,,aljazeera
Berlin,2,GPE,2022,3,5,52.5170365,13.3888599,Germany,Berlin,aljazeera
Belarus,2,GPE,2022,3,5,53.4250605,27.6971358,Belarus,Шацкий сельский Совет,aljazeera
Kyiv,5,LOC,2022,3,5,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Europe,4,LOC,2022,3,5,51.0,10.0,Germany,,aljazeera
the Irpin River,1,LOC,2022,3,5,50.5300778,30.2179137,Ukraine,,aljazeera
West,1,LOC,2022,3,5,0.5090396,34.5731341,Kenya,,aljazeera
Interfax,1,LOC,2022,3,5,4.8643962,-74.0502756,Colombia,,aljazeera
Europe 1,1,LOC,2022,3,5,48.8442009,2.2759488,France,,aljazeera
Black Sea,1,LOC,2022,3,5,43.87280435,33.99381558677739,,,aljazeera
Stressing,1,LOC,2022,3,5,,,,,aljazeera
the Middle East,1,LOC,2022,3,5,42.3638002,-71.1013814,United States,Cambridge,aljazeera
Africa,1,LOC,2022,3,5,11.5024338,17.7578122,Chad,,aljazeera
Ukraine,131,GPE,2022,3,6,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,124,GPE,2022,3,6,64.6863136,97.7453061,Russia,,aljazeera
Moscow,28,GPE,2022,3,6,55.7504461,37.6174943,Russia,Moscow,aljazeera
US,27,GPE,2022,3,6,39.7837304,-100.445882,United States,,aljazeera
UK,12,GPE,2022,3,6,54.7023545,-3.2765753,United Kingdom,Allerdale,aljazeera
Belarus,12,GPE,2022,3,6,53.4250605,27.6971358,Belarus,Шацкий сельский Совет,aljazeera
