Entity,Frequency,Entity Type,Year,Month,Day,Latitude,Longitude,Country,City,News Source
Ukraine,129,GPE,2022,3,1,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,117,GPE,2022,3,1,64.6863136,97.7453061,Russia,,aljazeera
United States,25,GPE,2022,3,1,39.7837304,-100.445882,United States,,aljazeera
Moscow,23,GPE,2022,3,1,55.7504461,37.6174943,Russia,Moscow,aljazeera
Poland,8,GPE,2022,3,1,52.215933,19.134422,Poland,,aljazeera
Belarus,6,GPE,2022,3,1,53.4250605,27.6971358,Belarus,,aljazeera
Kharkiv,5,GPE,2022,3,1,49.9923181,36.2310146,Ukraine,Kharkiv,aljazeera
Turkey,5,GPE,2022,3,1,38.9597594,34.9249653,Turkey,,aljazeera
United States,4,GPE,2022,3,1,39.7837304,-100.445882,United States,,aljazeera
Ukraine,4,GPE,2022,3,1,49.4871968,31.2718321,Ukraine,,aljazeera
Geneva,4,GPE,2022,3,1,46.2017559,6.1466014,Switzerland,Geneva,aljazeera
Kyiv,4,GPE,2022,3,1,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Kherson,3,GPE,2022,3,1,46.5421715,33.4079326,Ukraine,,aljazeera
Mariupol,3,GPE,2022,3,1,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Germany,3,GPE,2022,3,1,51.0834196,10.4234469,Germany,,aljazeera
United States,2,GPE,2022,3,1,39.7837304,-100.445882,United States,,aljazeera
Georgia,2,GPE,2022,3,1,42.3154,43.3569,Georgia,,aljazeera
Sweden,2,GPE,2022,3,1,59.6749712,14.5208584,Sweden,,aljazeera
United Kingdom,2,GPE,2022,3,1,54.7023545,-3.2765753,United Kingdom,,aljazeera
Kyiv,8,LOC,2022,3,1,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Black Sea,5,LOC,2022,3,1,43.87280435,33.99381559,,,aljazeera
Europe,4,LOC,2022,3,1,,,,,aljazeera
Black Sea,3,LOC,2022,3,1,43.87280435,33.99381559,,,aljazeera
Baltic Sea,1,LOC,2022,3,1,56,18,,,aljazeera
Azov Sea,1,LOC,2022,3,1,46.196729,36.73570655,,,aljazeera
Crimea,1,LOC,2022,3,1,45.28350435,34.20081878,Ukraine,,aljazeera
Gan,1,LOC,2022,3,1,46.1068872,-0.7519873,France,,aljazeera
Gulf of Mexico,1,LOC,2022,3,1,25,-90,,,aljazeera
Arab Gulf,1,LOC,2022,3,1,,,,,aljazeera
Crimea,1,LOC,2022,3,1,45.28350435,34.20081878,Ukraine,,aljazeera
Russia,133,GPE,2022,3,2,64.6863136,97.7453061,Russia,,aljazeera
Russia,91,GPE,2022,3,2,64.6863136,97.7453061,Russia,,aljazeera
Moscow,35,GPE,2022,3,2,55.7504461,37.6174943,Russia,Moscow,aljazeera
United States,21,GPE,2022,3,2,39.7837304,-100.445882,United States,,aljazeera
Belarus,10,GPE,2022,3,2,53.4250605,27.6971358,Belarus,,aljazeera
Kyiv,8,GPE,2022,3,2,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Ukraine,8,GPE,2022,3,2,49.4871968,31.2718321,Ukraine,,aljazeera
Canada,5,GPE,2022,3,2,61.0666922,-107.991707,Canada,,aljazeera
Romania,5,GPE,2022,3,2,45.9852129,24.6859225,Romania,,aljazeera
Mariupol,5,GPE,2022,3,2,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Chernihiv,4,GPE,2022,3,2,51.272593,31.7417235,Ukraine,,aljazeera
United Kingdom,4,GPE,2022,3,2,54.7023545,-3.2765753,United Kingdom,,aljazeera
Syria,4,GPE,2022,3,2,34.6401861,39.0494106,Syria,,aljazeera
Kharkiv,4,GPE,2022,3,2,49.9923181,36.2310146,Ukraine,Kharkiv,aljazeera
Japan,4,GPE,2022,3,2,36.5748441,139.2394179,Japan,Kiryu,aljazeera
Chernobyl,3,GPE,2022,3,2,51.2705477,30.2195609,Ukraine,Chernobyl,aljazeera
Poland,3,GPE,2022,3,2,52.215933,19.134422,Poland,,aljazeera
Zhytomyr,3,GPE,2022,3,2,50.9080532,28.3867504,Ukraine,,aljazeera
United States,3,GPE,2022,3,2,39.7837304,-100.445882,United States,,aljazeera
Germany,3,GPE,2022,3,2,51.0834196,10.4234469,Germany,,aljazeera
Kyiv,10,LOC,2022,3,2,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Black Sea,2,LOC,2022,3,2,43.87280435,33.99381559,,,aljazeera
Brest,1,LOC,2022,3,2,48.3905283,-4.4860088,France,Brest,aljazeera
Isaccea,1,LOC,2022,3,2,45.2721887,28.4571456,Romania,Isaccea,aljazeera
Dnieper River,1,LOC,2022,3,2,48.828,34.091,Ukraine,,aljazeera
Black Sea,1,LOC,2022,3,2,43.87280435,33.99381559,,,aljazeera
Black  Sea,1,LOC,2022,3,2,43.87280435,33.99381559,,,aljazeera
Azov Sea,1,LOC,2022,3,2,46.196729,36.73570655,,,aljazeera
Indian Ocean,1,LOC,2022,3,2,-9.9999999,69.9999999,,,aljazeera
Crimea,1,LOC,2022,3,2,45.28350435,34.20081878,Ukraine,,aljazeera
Ukraine,123,GPE,2022,3,3,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,118,GPE,2022,3,3,64.6863136,97.7453061,Russia,,aljazeera
Unites States,24,GPE,2022,3,3,39.7837304,-100.445882,United States,,aljazeera
Moscow,20,GPE,2022,3,3,55.7504461,37.6174943,Russia,Moscow,aljazeera
United Kingdom,7,GPE,2022,3,3,54.7023545,-3.2765753,United Kingdom,,aljazeera
Zaporizhzhia,7,GPE,2022,3,3,47.8507859,35.1182867,Ukraine,Zaporizhzhia,aljazeera
France,6,GPE,2022,3,3,46.603354,1.8883335,France,,aljazeera
Germany,6,GPE,2022,3,3,51.0834196,10.4234469,Germany,,aljazeera
Ukraine,6,GPE,2022,3,3,49.4871968,31.2718321,Ukraine,,aljazeera
Canada,4,GPE,2022,3,3,61.0666922,-107.991707,Canada,,aljazeera
China,4,GPE,2022,3,3,35.000074,104.999927,China,,aljazeera
Brussels,4,GPE,2022,3,3,50.8465573,4.351697,Belgium,Brussels,aljazeera
Belarus,4,GPE,2022,3,3,53.4250605,27.6971358,Belarus,,aljazeera
Enerhodar,4,GPE,2022,3,3,47.543552,34.622205,,,aljazeera
Finland,3,GPE,2022,3,3,63.2467777,25.9209164,Finland,,aljazeera
Russia,3,GPE,2022,3,3,64.6863136,97.7453061,Russia,,aljazeera
Poland,3,GPE,2022,3,3,52.215933,19.134422,Poland,,aljazeera
Romania,2,GPE,2022,3,3,45.9852129,24.6859225,Romania,,aljazeera
Europe,16,LOC,2022,3,3,,,,,aljazeera
Kyiv,4,LOC,2022,3,3,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Eastern Europe,1,LOC,2022,3,3,,,,,aljazeera
Mykolayiv,1,LOC,2022,3,3,46.9380295,32.0626947,Ukraine,Mykolaiv,aljazeera
Black Sea,1,LOC,2022,3,3,43.87280435,33.99381559,,,aljazeera
Dnipro,1,LOC,2022,3,3,51.9191343,30.8243039,Ukraine,,aljazeera
Russia,115,GPE,2022,3,4,64.6863136,97.7453061,Russia,,aljazeera
Ukraine,109,GPE,2022,3,4,49.4871968,31.2718321,Ukraine,,aljazeera
Moscow,23,GPE,2022,3,4,55.7504461,37.6174943,Russia,Moscow,aljazeera
Mariupol,18,GPE,2022,3,4,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
United States,18,GPE,2022,3,4,39.7837304,-100.445882,United States,,aljazeera
Ukraine,11,GPE,2022,3,4,49.4871968,31.2718321,Ukraine,,aljazeera
United Kingdom,11,GPE,2022,3,4,54.7023545,-3.2765753,United Kingdom,,aljazeera
Germany,9,GPE,2022,3,4,51.0834196,10.4234469,Germany,,aljazeera
Poland,9,GPE,2022,3,4,52.215933,19.134422,Poland,,aljazeera
Belarus,6,GPE,2022,3,4,53.4250605,27.6971358,Belarus,,aljazeera
Lithuania,6,GPE,2022,3,4,55.3500003,23.7499997,Lithuania,,aljazeera
London,5,GPE,2022,3,4,51.5073219,-0.1276474,United Kingdom,Westminster,aljazeera
Zaporizhzhia,5,GPE,2022,3,4,47.8507859,35.1182867,Ukraine,Zaporizhzhia,aljazeera
Turkey,4,GPE,2022,3,4,38.9597594,34.9249653,Turkey,,aljazeera
Israel,4,GPE,2022,3,4,31.5313113,34.8667654,Israel,Lachish Regional Council,aljazeera
Berlin,4,GPE,2022,3,4,52.5170365,13.3888599,Germany,Berlin,aljazeera
Volnovakha,4,GPE,2022,3,4,47.5984285,37.4998511,Ukraine,,aljazeera
Kherson,4,GPE,2022,3,4,46.5421715,33.4079326,Ukraine,,aljazeera
Mariupol city,4,GPE,2022,3,4,47.1033841,37.64373578,Ukraine,Mariupol,aljazeera
Singapore,4,GPE,2022,3,4,1.357107,103.8194992,Singapore,Singapore,aljazeera
Europe,10,LOC,2022,3,4,,,,,aljazeera
Kyiv,7,LOC,2022,3,4,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
North Sea,1,LOC,2022,3,4,56.74123355,2.891171717,,,aljazeera
Ukraine,99,GPE,2022,3,5,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,71,GPE,2022,3,5,64.6863136,97.7453061,Russia,,aljazeera
United States,19,GPE,2022,3,5,39.7837304,-100.445882,United States,,aljazeera
Moscow,18,GPE,2022,3,5,55.7504461,37.6174943,Russia,Moscow,aljazeera
Mariupol,14,GPE,2022,3,5,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Poland,8,GPE,2022,3,5,52.215933,19.134422,Poland,,aljazeera
Israel,6,GPE,2022,3,5,31.5313113,34.8667654,Israel,Lachish Regional Council,aljazeera
United Kingdom,6,GPE,2022,3,5,54.7023545,-3.2765753,United Kingdom,,aljazeera
Vinnytsia,4,GPE,2022,3,5,48.8990315,28.516068,Ukraine,,aljazeera
Iran,4,GPE,2022,3,5,32.6475314,54.5643516,Iran,,aljazeera
Calais,4,GPE,2022,3,5,50.9524769,1.8538446,France,Calais,aljazeera
China,4,GPE,2022,3,5,35.000074,104.999927,China,,aljazeera
Canada,4,GPE,2022,3,5,61.0666922,-107.991707,Canada,,aljazeera
Kyiv,3,GPE,2022,3,5,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Washington,3,GPE,2022,3,5,38.8950368,-77.0365427,United States,Washington,aljazeera
Romania,3,GPE,2022,3,5,45.9852129,24.6859225,Romania,,aljazeera
Venezuela,3,GPE,2022,3,5,8.0018709,-66.1109318,Venezuela,,aljazeera
Berlin,2,GPE,2022,3,5,52.5170365,13.3888599,Germany,Berlin,aljazeera
Belarus,2,GPE,2022,3,5,53.4250605,27.6971358,Belarus,,aljazeera
Kyiv,5,LOC,2022,3,5,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Europe,4,LOC,2022,3,5,,,,,aljazeera
Irpin River,1,LOC,2022,3,5,50.5300778,30.2179137,Ukraine,,aljazeera
Black Sea,1,LOC,2022,3,5,43.87280435,33.99381559,,,aljazeera
Middle East,1,LOC,2022,3,5,,,,,aljazeera
Africa,1,LOC,2022,3,5,,,,,aljazeera
Ukraine,131,GPE,2022,3,6,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,124,GPE,2022,3,6,64.6863136,97.7453061,Russia,,aljazeera
Moscow,28,GPE,2022,3,6,55.7504461,37.6174943,Russia,Moscow,aljazeera
United States,27,GPE,2022,3,6,39.7837304,-100.445882,United States,,aljazeera
United Kingdom,12,GPE,2022,3,6,54.7023545,-3.2765753,United Kingdom,,aljazeera
Belarus,12,GPE,2022,3,6,53.4250605,27.6971358,Belarus,,aljazeera
Kyiv,8,GPE,2022,3,6,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Latvia,7,GPE,2022,3,6,56.8406494,24.7537645,Latvia,Ogresgala pagasts,aljazeera
Poland,7,GPE,2022,3,6,52.215933,19.134422,Poland,,aljazeera
Mariupol,7,GPE,2022,3,6,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
China,7,GPE,2022,3,6,35.000074,104.999927,China,,aljazeera
Kharkiv,5,GPE,2022,3,6,49.9923181,36.2310146,Ukraine,Kharkiv,aljazeera
Japan,4,GPE,2022,3,6,36.5748441,139.2394179,Japan,Kiryu,aljazeera
Riga,3,GPE,2022,3,6,56.9493977,24.1051846,Latvia,Riga,aljazeera
Germany,3,GPE,2022,3,6,51.0834196,10.4234469,Germany,,aljazeera
Lithuania,3,GPE,2022,3,6,55.3500003,23.7499997,Lithuania,,aljazeera
United States,3,GPE,2022,3,6,39.7837304,-100.445882,United States,,aljazeera
Beijing,3,GPE,2022,3,6,39.906217,116.3912757,China,Beijing,aljazeera
United Kingdom,2,GPE,2022,3,6,54.7023545,-3.2765753,United Kingdom,,aljazeera
Europe,9,LOC,2022,3,6,,,,,aljazeera
Kyiv,8,LOC,2022,3,6,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Black Sea,2,LOC,2022,3,6,43.87280435,33.99381559,,,aljazeera
Central Europe,1,LOC,2022,3,6,,,,,aljazeera
Crimea,1,LOC,2022,3,6,45.28350435,34.20081878,Ukraine,,aljazeera
Mariupol,1,LOC,2022,3,6,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Brest,1,LOC,2022,3,6,48.3905283,-4.4860088,France,Brest,aljazeera
Azov Sea,1,LOC,2022,3,6,46.196729,36.73570655,,,aljazeera
Pelosi,1,LOC,2022,3,6,42.049403,12.6254221,Italy,,aljazeera
Ukraine,120,GPE,2022,3,7,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,108,GPE,2022,3,7,64.6863136,97.7453061,Russia,,aljazeera
United States,26,GPE,2022,3,7,39.7837304,-100.445882,United States,,aljazeera
